2MASS%20J08341039+1353561,DA+M
2MASS%20J08342069+0917098,DA+M
2MASS%20J08363033-0410189,DA+M
2MASS%20J08372244+2654172,DA+M
2MASS%20J08380803+5302540,DA+M
2MASS%20J08382711+4150152,DA+M
2MASS%20J08384586+1914167,DA+M
2MASS%20J08401823+2656035,DA+M
2MASS%20J08405692+2755137,DA+M
2MASS%20J08411948+1601329,DA+M
2MASS%20J08430728+1226102,DA+M
2MASS%20J08440593+0941221,DA+M
2MASS%20J08451867+0559116,DA+M
2MASS%20J08463721+2636186,DA+M
2MASS%20J08482713+2715417,DA+M
2MASS%20J08483360+0058399,DA+M
2MASS%20J08484617+1927590,DA+M
2MASS%20J08490170+4439355,DC
2MASS%20J08504884+6015237,DA+M
2MASS%20J08520206+1154000,DA+M
2MASS%20J08521817+1737130,DA+M
2MASS%20J08522373+0713256,DA+M
2MASS%20J08522441+1433085,DA+M
2MASS%20J08525322+2726210,DA+M
2MASS%20J08550954+1339464,DA+M
2MASS%20J08554980+3700171,DA
2MASS%20J08555559+1900046,DA+M
2MASS%20J08561241+1437570,DA+M
2MASS%20J08563156+0305547,DA+M
2MASS%20J08574143+1539060,DA+M
2MASS%20J08584400+1951521,DA+M
2MASS%20J08591127+0435071,DA+M
2MASS%20J09040905+4227022,DA+M
2MASS%20J09043729+2254392,DA+M
2MASS%20J09043983+5621421,DA+M
2MASS%20J09050539+0548116,DA+M
2MASS%20J09063859+0700598,DA
2MASS%20J09071236+3643184,DA
2MASS%20J09081205+0604211,DA+M
2MASS%20J09090352+3702067,DA+M
2MASS%20J09092543+5337006,DA+M
2MASS%20J09104052+0145482,DA+M
2MASS%20J09113224+3036053,DA+M
2MASS%20J09121638+2344426,DA+M
2MASS%20J09130445+0114179,DA+M
2MASS%20J09130970+2233469,DA+M
2MASS%20J09150822+4155594,DA+M
2MASS%20J09151342+3137131,DA+M
2MASS%20J09160148-0031299,DA+M
2MASS%20J09160189+2259476,DAH
2MASS%20J09162551+4415574,DA+M
2MASS%20J09171217+2154259,DA+M
2MASS%20J09184954+5456018,DA+M
2MASS%20J09191608+2944204,DA+M
2MASS%20J09210410+4250446,DA+M
2MASS%20J09213791+1613384,DA+M
2MASS%20J09215764+1013514,DA+M
2MASS%20J09220070+1817144,DA+M
2MASS%20J09225751+2904163,DA+M
2MASS%20J09243397+2040200,DA+M
2MASS%20J09245163-0017364,DA+M
2MASS%20J09245240+0024490,DA+M
2MASS%20J09274174+3329592,DA+M
2MASS%20J09293051+2846497,DA+M
2MASS%20J09304593+2259571,DA+M
2MASS%20J09311831+0912409,DA+M
2MASS%20J09312894+3941198,DA+M
2MASS%20J09315566+3946076,DA+M
2MASS%20J09321457+3452354,DA+M
2MASS%20J09323683+0530267,DA+M
2MASS%20J09331197+0926432,DA+M
2MASS%20J09343247+0313482,DA+M
2MASS%20J09344128+3050260,DA+M
2MASS%20J09352642+2454237,DA+M
2MASS%20J09363235+3419326,DA+M
2MASS%20J09363642+6256063,DA+M
2MASS%20J09372642+0630011,DA+M
2MASS%20J09391849+5729013,DA+M
2MASS%20J09393661+3734353,DA+M
2MASS%20J09395928+3801392,DA+M
2MASS%20J09400240+5342029,DA+M
2MASS%20J09403523+5200073,DA+M
2MASS%20J09410187+0622211,DA+M
2MASS%20J09410189+5107203,DA+M
2MASS%20J09411519+0901549,DQ
2MASS%20J09440217+6143078,DA+M
2MASS%20J09454260+1739001,DA+M
2MASS%20J09463451+2030036,DA+M
2MASS%20J09463729+6312277,DA+M
2MASS%20J09464035+2337337,DA+M
2MASS%20J09474454+1233385,DA+M
2MASS%20J09482131+3659353,DA+M
2MASS%20J09485008+1319275,DA
2MASS%20J09485392+5739578,DA+M
2MASS%20J09493551+4834053,DA+M
2MASS%20J09510873+0255075,DA+M
2MASS%20J09525012+3243290,DA+M
2MASS%20J09525044+1553041,DA+M
2MASS%20J09530866+4813446,DA+M
2MASS%20J09534504+1258295,DA
2MASS%20J09542257+4323252,DA+M
2MASS%20J09551069+1802151,DA
2MASS%20J09563219-0033409,DA+M
2MASS%20J09570594+6152547,DA
2MASS%20J09572384+0207349,DA+M
2MASS%20J09573758+3001364,DA+M
2MASS%20J09595353-0115040,DA+M
2MASS%20J10001089+0843135,DA+M
2MASS%20J10001518+3043306,DA+M
2MASS%20J10002722+1101408,DA+M
2MASS%20J10013122+3203231,DA+M
2MASS%20J10020692+4355296,DA+M
2MASS%20J10050339+2112039,DA+M
2MASS%20J10052993+5219378,DA+M
2MASS%20J10060916+0044169,DA+M
2MASS%20J10072113+3008519,DA+M
2MASS%20J10074110+4041260,DA+M
2MASS%20J10081188+1624504,DA+M
2MASS%20J10090559+0244416,DA+M
2MASS%20J10104689+1713489,DA+M
2MASS%20J10112352+2952023,DA+M
2MASS%20J10141450+0401369,DA
2MASS%20J10143597+4226228,DA
2MASS%20J10145164+4541479,DA+M
2MASS%20J10150105+1850062,DA+M
2MASS%20J10161266+3242394,DA+M
2MASS%20J10164526+1920542,DA
2MASS%20J10164722-0109072,DA+M
2MASS%20J10174168-0029337,DA
2MASS%20J10180002+0838206,DQ
2MASS%20J10180431+2533080,DA+M
2MASS%20J10192284+2854008,DA+M
2MASS%20J10195468+5317367,DA
2MASS%20J10201454+3553213,DA+M
2MASS%20J10203207+0246221,DA+M
2MASS%20J10210225+1744399,DA+M
2MASS%20J10220594+0802463,DA+M
2MASS%20J10221035+4612491,DA
2MASS%20J10221347+2941200,DA+M
2MASS%20J10225621+0954188,DA+M
2MASS%20J10233423+0427221,DA+M
2MASS%20J10243847+1624582,DA+M
